model,method,image,deletion_auc,insertion_auc
resnet18,eigencam,7020-147.jpg,0.2662908732891083,0.8392676115036011
resnet18,eigencam,7020-162.jpg,0.29229000210762024,0.8190755248069763
resnet18,eigencam,7020-170.jpg,0.10676702111959457,0.6503903269767761
resnet18,eigencam,7020-26.jpg,0.3063453137874603,0.8621746897697449
resnet18,eigencam,7021-11.jpg,0.12552446126937866,0.7887625694274902
resnet18,eigencam,7021-133.jpg,0.8128737211227417,0.3217954635620117
resnet18,eigencam,7021-149.jpg,0.8242406845092773,0.2647155225276947
resnet18,eigencam,7021-150.jpg,0.8341755867004395,0.2136988639831543
resnet18,eigencam,7021-151.jpg,0.7995226979255676,0.30779290199279785
resnet18,eigencam,7021-165.jpg,0.13133744895458221,0.7050807476043701
resnet18,eigencam,7021-174.jpg,0.18395859003067017,0.6725132465362549
resnet18,eigencam,7021-207.jpg,0.33341705799102783,0.841796875
resnet18,eigencam,7021-237.jpg,0.6707020998001099,0.15723183751106262
resnet18,eigencam,7021-249.jpg,0.31311216950416565,0.8190065026283264
resnet18,eigencam,7021-26.jpg,0.36345750093460083,0.8793300986289978
resnet18,eigencam,7021-29.jpg,0.37028542160987854,0.9135991334915161
resnet18,eigencam,7021-81.jpg,0.7456876039505005,0.05866124480962753
resnet18,eigencam,7022-111.jpg,0.20183545351028442,0.49713796377182007
resnet18,eigencam,7022-147.jpg,0.26707789301872253,0.7268657088279724
resnet18,eigencam,7022-39.jpg,0.3136094808578491,0.7916106581687927
resnet18,eigencam,7022-41.jpg,0.4183351397514343,0.7125868201255798
resnet18,eigencam,7023-37.jpg,0.2250172197818756,0.8082465529441833
resnet18,eigencam,7024-112.jpg,0.3449878394603729,0.7970392107963562
resnet18,eigencam,7024-12.jpg,0.2222202569246292,0.7957622408866882
resnet18,eigencam,7024-129.jpg,0.5154525637626648,0.8525935411453247
resnet18,eigencam,7024-29.jpg,0.09039606899023056,0.9284079670906067
resnet18,eigencam,7024-64.jpg,0.8308202028274536,0.27983778715133667
resnet18,eigencam,7025-113.jpg,0.8165343999862671,0.22114858031272888
resnet18,eigencam,7025-128.jpg,0.470371812582016,0.9022637605667114
resnet18,eigencam,7025-81.jpg,0.8038085699081421,0.1961723119020462
resnet18,eigencam,7026-113.jpg,0.41877683997154236,0.7246057987213135
resnet18,eigencam,7026-170.jpg,0.6518281102180481,0.13502588868141174
resnet18,eigencam,7026-221.jpg,0.3603688180446625,0.8653691411018372
resnet18,eigencam,7026-57.jpg,0.18441356718540192,0.7000336647033691
resnet18,eigencam,7026-86.jpg,0.7145721316337585,0.11400893330574036
